name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,Type,popular
WOW Momo,Yes,No,3.5,6,MG Road,Quick Bites,others,400.0,Dine-out,0
ChinaMinaMo,No,No,3.700141861024285,0,Marathahalli,Quick Bites,others,350.0,Dine-out,0
Kaati Zone,Yes,No,3.3,4,Koramangala 6th Block,Quick Bites,others,350.0,Delivery,0
Eat & Drink,Yes,No,3.5,15,New BEL Road,others,others,300.0,Dine-out,0
Bangalore Pub Exchange,No,Yes,4.2,227,MG Road,others,others,1000.0,Pubs and bars,1
Chaai Resto,Yes,No,3.700141861024285,0,others,Cafe,others,200.0,Cafes,0
Mayur,Yes,Yes,3.7,20,others,Casual Dining,"North Indian, South Indian, Chinese",500.0,Delivery,0
Brooks and Bonds Brewery,Yes,Yes,4.5,3996,Koramangala 5th Block,others,others,1600.0,Dine-out,1
Trio Dosa Connect,Yes,No,3.700141861024285,0,HSR,Quick Bites,others,300.0,Delivery,0
Crunch Pizzas,Yes,No,2.6,41,Whitefield,Quick Bites,"Italian, Pizza",600.0,Delivery,0
Brew Point,Yes,No,3.6,10,JP Nagar,Cafe,others,500.0,Delivery,0
RR Catering,No,No,3.4,10,MG Road,Quick Bites,"North Indian, Chinese, Biryani",350.0,Delivery,0
Chili's American Grill & Bar,Yes,Yes,4.5,1365,Bellandur,"Casual Dining, Bar",others,1800.0,Dine-out,1
Delicious Momos,No,No,4.1,109,Kammanahalli,Casual Dining,"Chinese, Momos",450.0,Delivery,1
Keventers,Yes,No,4.0,571,Indiranagar,others,others,400.0,Delivery,1
Tibbs Frankie,No,No,3.5,70,Koramangala 7th Block,Quick Bites,others,200.0,Dine-out,0
China Bistro & Lounge,Yes,Yes,4.4,83,Indiranagar,Casual Dining,others,1600.0,Dine-out,1
Parivaar,No,No,3.3,7,BTM,Delivery,"Biryani, North Indian, Chinese",600.0,Delivery,0
Magic Biryani,No,No,3.700141861024285,0,Richmond Road,Quick Bites,"Biryani, Kebab",150.0,Dine-out,0
